"filename", "language", "Dart", "C++", "HTML", "CMake", "YAML", "JSON", "Swift", "Markdown", "XML", "JavaScript", "Properties", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\programas\exa_gammer_movil\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\programas\exa_gammer_movil\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\programas\exa_gammer_movil\linux\runner\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\programas\exa_gammer_movil\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 4, 15
"c:\programas\exa_gammer_movil\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\programas\exa_gammer_movil\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\programas\exa_gammer_movil\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\programas\exa_gammer_movil\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\programas\exa_gammer_movil\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\programas\exa_gammer_movil\pubspec.yaml", "YAML", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\programas\exa_gammer_movil\scripts_k6\cargar_examen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 8, 9, 39
"c:\programas\exa_gammer_movil\scripts_k6\login_rol.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 7, 7, 37
"c:\programas\exa_gammer_movil\scripts_k6\prueba_clase.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 6, 38
"c:\programas\exa_gammer_movil\scripts_k6\registrar_usuario.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 7, 6, 39
"c:\programas\exa_gammer_movil\scripts_k6\unirse_clase.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 7, 6, 38
"c:\programas\exa_gammer_movil\test\clase\agregar_clase_test.dart", "Dart", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 143
"c:\programas\exa_gammer_movil\test\clase\validaciones_clase.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 26
"c:\programas\exa_gammer_movil\test\examen\examen_validation_test.dart", "Dart", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 68
"c:\programas\exa_gammer_movil\test\examen\examen_validator.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 54
"c:\programas\exa_gammer_movil\test\login\login_validation_test.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\programas\exa_gammer_movil\test\login\login_validators.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\programas\exa_gammer_movil\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\programas\exa_gammer_movil\web\index.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\programas\exa_gammer_movil\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
