"filename", "language", "JSON", "C++", "Dart", "HTML", "YAML", "Properties", "CMake", "Markdown", "Swift", "XML", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\lib\ui\home\vista\clase\estud_clase.dart", "Dart", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 8, 138
"c:\programas\exa_gammer_movil\lib\ui\home\vista\clase\info_clase.dart", "Dart", 0, 0, 552, 0, 0, 0, 0, 0, 0, 0, 12, 29, 593
"c:\programas\exa_gammer_movil\lib\ui\home\vista\clase\pruebas.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\examen_view.dart", "Dart", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 2, 14, 163
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\add_examen.dart", "Dart", 0, 0, 708, 0, 0, 0, 0, 0, 0, 0, 11, 31, 750
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\calificacion.dart", "Dart", 0, 0, 692, 0, 0, 0, 0, 0, 0, 0, 7, 23, 722
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\detalle_examen.dart", "Dart", 0, 0, 516, 0, 0, 0, 0, 0, 0, 0, 8, 30, 554
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\info_examen.dart", "Dart", 0, 0, 585, 0, 0, 0, 0, 0, 0, 0, 12, 30, 627
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\resultados.dart", "Dart", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 10, 159
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\conte_Estud.dart", "Dart", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 5, 14, 164
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\conte_Profe.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 7, 9, 66
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\formahorcado.dart", "Dart", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 19, 146
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\formheroes.dart", "Dart", 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 2, 18, 202
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\listAhorcados.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\listHeroes.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 4, 42
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\listPalab_Res.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 8, 92
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\listPregun_Res.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 8, 84
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\validarresultados.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 3, 7, 56
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\EditarPerfil.dart", "Dart", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 12, 124
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\Pago_premium.dart", "Dart", 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 1, 20, 333
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\Plan_card.dart", "Dart", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 3, 113
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\PremiumView.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 8, 108
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\profile_view.dart", "Dart", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 7, 177
"c:\programas\exa_gammer_movil\lib\ui\home\widget\avatares.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 3, 70
"c:\programas\exa_gammer_movil\lib\ui\home\widget\boton_comenzar.dart", "Dart", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 4, 88
"c:\programas\exa_gammer_movil\lib\ui\home\widget\buscar.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
